"STCD","TM","Z1","Z2","ZQ","ZV","WPTN","WPTN2","INSERTTM"
"10001234",2020-05-25 11:00:00.000,,,,,,,2021-01-18 10:32:50.887
"10001234",2020-05-25 12:00:00.000,,3.829,,,,,2021-01-18 10:32:50.887
"10001234",2020-05-26 08:00:00.000,,3.829,,,,6,2021-01-18 10:32:50.887
"10001234",2020-05-26 09:00:00.000,,3.830,,,,5,2021-01-18 10:32:50.887
"10001234",2020-05-26 10:00:00.000,,3.830,,,,6,2021-01-18 10:32:50.887
"10001234",2020-05-26 12:00:00.000,,3.830,,,,6,2021-01-18 10:32:50.887
"10001234",2020-05-26 13:00:00.000,,3.831,,,,5,2021-01-18 10:32:50.887
"10001234",2020-05-26 14:00:00.000,,3.831,,,,6,2021-01-18 10:32:50.887
"10001234",2020-05-26 15:00:00.000,,3.831,,,,6,2021-01-18 10:32:50.887
"10001234",2020-05-26 16:00:00.000,0.6370,3.831,,,,6,2021-01-18 10:32:50.887
"10001234",2020-05-26 17:00:00.000,0.6370,3.831,,,6,6,2021-01-18 10:32:50.887
"10001234",2020-05-26 18:00:00.000,0.6370,3.834,,,6,5,2021-01-18 10:32:50.887
"10001234",2020-05-26 19:00:00.000,0.6370,3.834,,,6,6,2021-01-18 10:32:50.887
"10001234",2020-05-26 20:00:00.000,0.6370,3.834,,,6,6,2021-01-18 10:32:50.887
"10001234",2020-05-26 21:00:00.000,0.6370,3.834,,,6,6,2021-01-18 10:32:50.887
"10001234",2020-05-26 22:00:00.000,0.6370,3.834,,,6,6,2021-01-18 10:32:50.887
"10001234",2020-05-26 23:00:00.000,0.6370,3.834,,,6,6,2021-01-18 10:32:50.887
"10001234",2020-05-27 00:00:00.000,0.6370,3.834,,,6,6,2021-01-18 10:32:50.887
"10001234",2020-05-27 01:00:00.000,0.6370,3.834,,,6,6,2021-01-18 10:32:50.887
"10001234",2020-05-27 02:00:00.000,0.6370,3.834,,,6,6,2021-01-18 10:32:50.887
"10001234",2020-05-27 03:00:00.000,0.6370,3.834,,,6,6,2021-01-18 10:32:50.887
"10001234",2020-05-27 04:00:00.000,0.6370,3.834,,,6,6,2021-01-18 10:32:50.887
"10001234",2020-05-27 05:00:00.000,0.6370,3.834,,,6,6,2021-01-18 10:32:50.887
