TM,Z2,DRP,SLM10,SLM20,SLM40,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2020-06-23 11:00:00,3.861,2.5,6.9,7.6,6.9,708.4506109,793.9786727,1029.559455,921.1969684,1334.249381,2175.607642,2522.34616,2462.055296,2639.086748,2723.485708,1841.262851,1277.987018
2020-06-23 12:00:00,3.86,10,6.9,7.8,7.3,708.3235565,793.8881958,1029.424875,921.0556959,1334.114071,2175.671595,2522.630237,2462.283405,2639.433491,2723.728548,1841.355267,1277.981726
2020-06-23 13:00:00,3.86,5,6.9,7.744,7.189,708.1965021,793.7977189,1029.290296,920.9144235,1333.978761,2175.735548,2522.914314,2462.511514,2639.780234,2723.971388,1841.447683,1277.976435
2020-06-23 14:00:00,3.862,0,6.9,7.754,7.209,708.0694476,793.7072421,1029.155716,920.773151,1333.843452,2175.799501,2523.198391,2462.739624,2640.126977,2724.214227,1841.540098,1277.971143
2020-06-23 15:00:00,3.862,17.5,6.9,7.8,7.3,707.9423932,793.6167652,1029.021137,920.6318786,1333.708142,2175.863454,2523.482468,2462.967733,2640.47372,2724.457067,1841.632514,1277.965851
2020-06-23 16:00:00,3.864,0,6.9,7.8,7.3,707.8153388,793.5262884,1028.886557,920.4906062,1333.572832,2175.927407,2523.766544,2463.195842,2640.820463,2724.699906,1841.72493,1277.96056
2020-06-23 17:00:00,3.864,0,6.9,7.8,7.3,707.6882844,793.4358115,1028.751978,920.3493337,1333.437522,2175.99136,2524.050621,2463.423951,2641.167205,2724.942746,1841.817345,1277.955268
2020-06-23 18:00:00,3.864,0,6.9,7.8,7.3,707.56123,793.3453346,1028.617398,920.2080613,1333.302213,2176.055314,2524.334698,2463.652061,2641.513948,2725.185585,1841.909761,1277.949976
2020-06-23 19:00:00,3.864,0,6.9,7.8,7.3,707.4341755,793.2548578,1028.482819,920.0667888,1333.166903,2176.119267,2524.618775,2463.88017,2641.860691,2725.428425,1842.002176,1277.944684
2020-06-23 20:00:00,3.864,0,6.9,7.8,7.3,707.3071211,793.1643809,1028.348239,919.9255164,1333.031593,2176.18322,2524.902851,2464.108279,2642.207434,2725.671265,1842.094592,1277.939393
2020-06-23 21:00:00,3.864,0,6.9,7.827,7.336,707.1800667,793.0739041,1028.213659,919.784244,1332.896283,2176.247173,2525.186928,2464.336388,2642.554177,2725.914104,1842.187008,1277.934101
2020-06-23 22:00:00,3.864,0,6.9,7.8,7.3,707.0530123,792.9834272,1028.07908,919.6429715,1332.760974,2176.311126,2525.471005,2464.564497,2642.90092,2726.156944,1842.279423,1277.928809
