STCD,TM,Z1,Z2,ZQ,ZV,WPTN,WPTN2,INSERTTM
10001236,2020-06-23 11:00:00.000,,,,,,,2021-01-18 10:32:50.887
10001236,2020-06-23 12:00:00.000,0.9250,3.860,,,,,2021-01-18 10:32:50.887
10001236,2020-06-23 13:00:00.000,0.9270,3.860,,,5,6,2021-01-18 10:32:50.887
10001236,2020-06-23 14:00:00.000,0.9270,,,,6,,2021-01-18 10:32:50.887
10001236,2020-06-23 15:00:00.000,0.9270,,,,6,,2021-01-18 10:32:50.887
10001236,2020-06-23 16:00:00.000,0.9310,3.864,,,5,,2021-01-18 10:32:50.887
10001236,2020-06-23 17:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-23 18:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-23 19:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-23 20:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-23 21:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-23 22:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-23 23:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 00:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 01:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 02:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 03:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 04:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 05:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 06:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 07:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 08:00:00.000,0.9310,3.864,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 09:00:00.000,0.9180,3.920,,,4,5,2021-01-18 10:32:50.887
10001236,2020-06-24 10:00:00.000,0.9360,3.909,,,5,4,2021-01-18 10:32:50.887
10001236,2020-06-24 11:00:00.000,0.9360,3.909,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 12:00:00.000,0.9360,3.909,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 13:00:00.000,0.9360,3.909,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 14:00:00.000,0.0000,0.000,,,4,4,2021-01-18 10:32:50.887
10001236,2020-06-24 15:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 16:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 17:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 18:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 19:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 20:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 21:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 22:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-24 23:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-25 00:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-25 01:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-25 02:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-25 03:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-25 04:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-25 05:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-25 06:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-25 07:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-25 08:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-25 09:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-25 10:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
10001236,2020-06-25 11:00:00.000,0.0000,0.000,,,6,6,2021-01-18 10:32:50.887
