TM,Z2,DRP,SLM10,SLM20,SLM40,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2020/5/25 11:00,,12.5,,,,1216.512094,1378.851731,1470.913008,1700.896964,2038.814634,2277.589788,2477.962753,2631.719995,2714.166724,3632.059876,2068.120597,1571.947187
2020/5/25 12:00,3.829,5,,,,1214.866841,1378.293844,1471.777739,1703.763778,2041.569015,2280.049837,2480.63306,2634.744554,2717.249938,3630.979342,2078.180446,1579.994834
2020/5/25 13:00,3.829,0,,,,1213.221587,1377.735956,1472.64247,1706.630592,2044.323397,2282.509886,2483.303367,2637.769112,2720.333152,3629.898809,2088.240295,1588.042481
2020/5/25 14:00,3.829,0,,,,1211.576334,1377.178068,1473.507202,1709.497406,2047.077779,2284.969935,2485.973675,2640.793671,2723.416366,3628.818275,2098.300144,1596.090128
2020/5/25 15:00,3.829,0,,,,1209.93108,1376.620181,1474.371933,1712.36422,2049.832161,2287.429984,2488.643982,2643.81823,2726.49958,3627.737742,2108.359993,1604.137775
2020/5/25 16:00,3.829,0,,,,1208.285827,1376.062293,1475.236665,1715.231034,2052.586542,2289.890034,2491.314289,2646.842789,2729.582794,3626.657208,2118.419842,1612.185422
2020/5/25 17:00,3.829,0,,,,1206.640573,1375.504406,1476.101396,1718.097848,2055.340924,2292.350083,2493.984596,2649.867348,2732.666008,3625.576674,2128.479692,1620.233069
2020/5/25 18:00,3.829,0,,,,1204.99532,1374.946518,1476.966127,1720.964663,2058.095306,2294.810132,2496.654904,2652.891907,2735.749222,3624.496141,2138.539541,1628.280716
2020/5/25 19:00,3.829,0,,,,1203.350066,1374.38863,1477.830859,1723.831477,2060.849687,2297.270181,2499.325211,2655.916466,2738.832436,3623.415607,2148.59939,1636.328363
2020/5/25 20:00,3.829,0,,,,1201.704813,1373.830743,1478.69559,1726.698291,2063.604069,2299.73023,2501.995518,2658.941025,2741.91565,3622.335074,2158.659239,1644.376011
2020/5/25 21:00,3.829,0,,,,1200.059559,1373.272855,1479.560322,1729.565105,2066.358451,2302.190279,2504.665826,2661.965584,2744.998864,3621.25454,2168.719088,1652.423658
2020/5/25 22:00,3.829,0,5.5,4.2,,1198.414306,1372.714968,1480.425053,1732.431919,2069.112833,2304.650328,2507.336133,2664.990143,2748.082078,3620.174006,2178.778937,1660.471305
2020/5/25 23:00,3.829,0,2.917,3.883,,1196.769052,1372.15708,1481.289785,1735.298733,2071.867214,2307.110377,2510.00644,2668.014702,2751.165292,3619.093473,2188.838786,1668.518952
2020/5/26 0:00,3.829,0,3.167,4.133,,1195.123799,1371.599193,1482.154516,1738.165547,2074.621596,2309.570426,2512.676747,2671.039261,2754.248506,3618.012939,2198.898635,1676.566599
2020/5/26 1:00,3.827,0,3.906,5.474,,1193.478545,1371.041305,1483.019247,1741.032361,2077.375978,2312.030475,2515.347055,2674.06382,2757.33172,3616.932406,2208.958484,1684.614246
2020/5/26 2:00,3.828,0,4.383,5.855,,1191.833292,1370.483417,1483.883979,1743.899175,2080.13036,2314.490525,2518.017362,2677.088379,2760.414934,3615.851872,2219.018333,1692.661893
2020/5/26 3:00,3.828,0,4.744,6.092,,1190.188038,1369.92553,1484.74871,1746.765989,2082.884741,2316.950574,2520.687669,2680.112938,2763.498148,3614.771339,2229.078182,1700.70954
2020/5/26 4:00,3.828,0,5.023,6.26,,1188.542785,1369.367642,1485.613442,1749.632803,2085.639123,2319.410623,2523.357977,2683.137497,2766.581362,3613.690805,2239.138031,1708.757187
2020/5/26 5:00,3.829,0,5.446,6.509,,1186.897531,1368.809755,1486.478173,1752.499617,2088.393505,2321.870672,2526.028284,2686.162055,2769.664576,3612.610271,2249.197881,1716.804834
2020/5/26 6:00,3.829,0,5.455,6.636,,1185.252278,1368.251867,1487.342904,1755.366431,2091.147886,2324.330721,2528.698591,2689.186614,2772.74779,3611.529738,2259.25773,1724.852481
2020/5/26 7:00,3.829,0,5.675,6.7,,1183.607024,1367.693979,1488.207636,1758.233245,2093.902268,2326.79077,2531.368898,2692.211173,2775.831004,3610.449204,2269.317579,1732.900128
2020/5/26 8:00,3.829,0,5.798,6.73,,1181.961771,1367.136092,1489.072367,1761.100059,2096.65665,2329.250819,2534.039206,2695.235732,2778.914218,3609.368671,2279.377428,1740.947775
2020/5/26 9:00,3.83,0,5.5,6.4,,1180.316517,1366.578204,1489.937099,1763.966873,2099.411032,2331.710868,2536.709513,2698.260291,2781.997432,3608.288137,2289.437277,1748.995422
2020/5/26 10:00,3.83,0,5.5,6.6,,1178.671264,1366.020317,1490.80183,1766.833687,2102.165413,2334.170917,2539.37982,2701.28485,2785.080646,3607.207603,2299.497126,1757.04307
2020/5/26 11:00,3.83,0,6,6.9,,1177.02601,1365.462429,1491.666562,1769.700501,2104.919795,2336.630966,2542.050127,2704.309409,2788.16386,3606.12707,2309.556975,1765.090717
2020/5/26 12:00,3.83,0,5.896,6.736,,1175.380757,1364.904541,1492.531293,1772.567315,2107.674177,2339.091016,2544.720435,2707.333968,2791.247074,3605.046536,2319.616824,1773.138364
2020/5/26 13:00,3.831,0,6.2,6.9,,1173.735503,1364.346654,1493.396024,1775.434129,2110.428558,2341.551065,2547.390742,2710.358527,2794.330288,3603.966003,2329.676673,1781.186011
2020/5/26 14:00,3.831,0,6.2,6.9,,1172.09025,1363.788766,1494.260756,1778.300943,2113.18294,2344.011114,2550.061049,2713.383086,2797.413502,3602.885469,2339.736522,1789.233658
2020/5/26 15:00,3.831,0,6.2,6.9,,1170.444996,1363.230879,1495.125487,1781.167757,2115.937322,2346.471163,2552.731357,2716.407645,2800.496717,3601.804935,2349.796371,1797.281305
2020/5/26 16:00,3.831,0,6.2,6.9,,1168.799743,1362.672991,1495.990219,1784.034572,2118.691704,2348.931212,2555.401664,2719.432204,2803.579931,3600.724402,2359.85622,1805.328952
2020/5/26 17:00,3.831,0,5.7,6.6,,1167.154489,1362.115103,1496.85495,1786.901386,2121.446085,2351.391261,2558.071971,2722.456763,2806.663145,3599.643868,2369.91607,1813.376599
2020/5/26 18:00,3.834,0,6.4,6.6,,1165.509236,1361.557216,1497.719682,1789.7682,2124.200467,2353.85131,2560.742278,2725.481322,2809.746359,3598.563335,2379.975919,1821.424246
2020/5/26 19:00,3.834,0,5.7,6.6,,1163.863982,1360.999328,1498.584413,1792.635014,2126.954849,2356.311359,2563.412586,2728.505881,2812.829573,3597.482801,2390.035768,1829.471893
2020/5/26 20:00,3.834,0,5.7,6.6,,1162.218729,1360.441441,1499.449144,1795.501828,2129.70923,2358.771408,2566.082893,2731.53044,2815.912787,3596.402267,2400.095617,1837.51954
2020/5/26 21:00,3.834,0,6,6.6,,1160.573475,1359.883553,1500.313876,1798.368642,2132.463612,2361.231457,2568.7532,2734.554999,2818.996001,3595.321734,2410.155466,1845.567187
